order_id,customer_id,restaurant_id,order_date,delivery_time,status,total_amount,payment_mode,discount_applied,feedback_rating
58,167,164,2024-12-29 16:51:45,2024-12-29 17:43:45,Pending,4947.10,UPI,9.83,4.96
59,244,82,2024-10-06 18:47:09,2024-10-06 20:10:09,Delivered,560.09,UPI,41.77,1.29
60,205,20,2024-09-17 17:44:42,2024-09-17 18:42:42,Cancelled,2227.71,Credit Card,7.50,4.10
61,215,103,2024-08-02 10:20:14,2024-08-02 10:59:14,Cancelled,1360.65,Credit Card,29.92,3.87
62,226,34,2024-04-28 10:23:04,2024-04-28 11:09:04,Pending,1519.66,UPI,35.53,0.95
63,226,66,2024-03-12 13:10:38,2024-03-12 14:05:38,Delivered,2382.52,Credit Card,47.43,1.76
64,192,174,2024-12-06 08:56:40,2024-12-06 09:35:40,Pending,1317.20,UPI,27.48,3.29
65,437,129,2023-10-23 06:31:30,2023-10-23 07:37:30,Pending,2857.87,Cash,44.47,4.47
66,194,122,2024-09-25 02:58:31,2024-09-25 04:03:31,Delivered,1551.50,UPI,36.52,2.21
67,487,155,2024-04-01 14:31:17,2024-04-01 15:37:17,Cancelled,2372.50,UPI,1.25,3.11
68,364,61,2023-07-28 12:41:28,2023-07-28 13:54:28,Cancelled,3139.12,UPI,6.66,3.26
69,139,97,2023-09-12 04:01:34,2023-09-12 04:52:34,Cancelled,1688.28,Cash,43.65,4.08
70,114,123,2024-09-13 22:16:44,2024-09-13 23:26:44,Pending,2454.87,UPI,42.40,3.45
71,326,136,2023-12-09 18:43:52,2023-12-09 20:13:52,Cancelled,2414.06,Credit Card,8.65,2.44
72,135,92,2025-06-03 00:46:53,2025-06-03 01:55:53,Delivered,3895.69,Cash,26.68,4.58
73,230,133,2023-09-14 22:06:56,2023-09-14 23:23:56,Cancelled,2270.56,Cash,30.39,2.84
74,346,25,2024-05-05 01:24:33,2024-05-05 02:26:33,Pending,1849.33,Cash,18.26,4.28
75,287,58,2023-09-01 10:56:17,2023-09-01 11:48:17,Cancelled,2503.35,Credit Card,43.42,4.74
76,494,51,2024-02-13 16:21:38,2024-02-13 17:12:38,Cancelled,1301.25,Credit Card,28.40,1.08
77,425,45,2024-04-29 08:05:37,2024-04-29 08:35:37,Cancelled,1947.63,Credit Card,10.55,2.69
78,153,106,2024-03-28 23:34:26,2024-03-29 00:38:26,Delivered,4536.07,Credit Card,37.96,0.85
79,168,43,2025-07-01 18:58:36,2025-07-01 20:26:36,Pending,3925.69,UPI,7.57,0.67
80,8,182,2025-04-27 03:48:00,2025-04-27 04:25:00,Delivered,749.97,Cash,4.23,1.74
81,219,15,2024-07-28 22:59:32,2024-07-29 00:09:32,Cancelled,4321.90,UPI,15.01,1.93
82,9,127,2023-09-02 07:13:14,2023-09-02 08:25:14,Delivered,2491.40,UPI,22.26,3.73
83,292,178,2025-04-17 18:36:10,2025-04-17 19:55:10,Delivered,616.59,UPI,39.29,1.24
84,348,110,2024-12-27 09:43:22,2024-12-27 10:14:22,Cancelled,2954.58,UPI,7.68,4.80
85,279,85,2025-07-12 07:20:29,2025-07-12 07:53:29,Cancelled,451.92,Cash,26.06,2.23
86,348,33,2024-11-28 09:51:07,2024-11-28 10:36:07,Pending,73.03,Cash,24.99,3.90
87,335,158,2023-09-24 15:19:11,2023-09-24 16:30:11,Cancelled,542.40,UPI,44.29,3.77
88,335,52,2025-04-09 13:03:08,2025-04-09 13:55:08,Pending,3417.29,UPI,10.87,2.02
89,148,1,2024-04-10 13:22:41,2024-04-10 14:15:41,Delivered,3452.23,Cash,12.86,2.25
90,122,28,2023-11-26 20:21:31,2023-11-26 20:59:31,Delivered,480.38,Credit Card,15.02,1.65
91,488,32,2025-04-28 04:15:38,2025-04-28 05:13:38,Delivered,4219.43,Cash,24.27,1.05
92,298,61,2024-03-30 08:45:45,2024-03-30 09:32:45,Pending,1584.62,UPI,19.30,4.87
93,166,190,2024-01-23 21:11:32,2024-01-23 22:30:32,Pending,2619.32,Credit Card,46.85,1.39
94,243,91,2025-06-06 08:04:28,2025-06-06 09:08:28,Pending,228.46,UPI,38.99,4.40
95,67,181,2024-03-05 10:38:30,2024-03-05 11:39:30,Pending,2763.44,Cash,44.10,4.98
96,378,179,2023-10-15 22:32:52,2023-10-15 23:32:52,Cancelled,2317.13,Credit Card,21.71,2.24
97,478,196,2023-10-14 09:11:13,2023-10-14 09:43:13,Delivered,4342.45,Cash,31.88,3.37
98,396,92,2024-08-05 04:36:47,2024-08-05 05:16:47,Pending,1624.75,UPI,27.98,0.24
99,204,68,2024-07-28 18:44:45,2024-07-28 19:35:45,Pending,4683.28,Cash,28.10,1.90
100,107,121,2025-05-21 22:55:27,2025-05-21 23:50:27,Delivered,1718.00,Credit Card,27.71,0.79
101,362,191,2025-01-20 14:19:50,2025-01-20 14:49:50,Cancelled,4949.62,Cash,23.16,4.06
102,134,181,2023-08-14 12:09:06,2023-08-14 13:00:06,Pending,4123.27,Credit Card,46.95,0.48
103,189,179,2023-10-14 12:00:12,2023-10-14 13:02:12,Cancelled,360.02,Cash,46.49,3.39
104,99,16,2025-03-29 18:33:12,2025-03-29 19:05:12,Pending,4324.81,Credit Card,45.70,4.84
105,497,38,2023-10-19 07:07:03,2023-10-19 07:42:03,Delivered,1762.06,Credit Card,11.98,0.57
106,315,168,2023-07-28 18:22:50,2023-07-28 19:31:50,Cancelled,4335.55,UPI,27.67,4.63
107,106,26,2024-06-25 12:53:36,2024-06-25 13:51:36,Pending,768.31,Cash,41.02,2.47
108,159,46,2025-03-27 23:57:48,2025-03-28 01:09:48,Pending,4798.07,Credit Card,11.18,2.67
109,415,170,2024-05-09 05:25:41,2024-05-09 06:45:41,Pending,4497.98,Credit Card,20.17,2.54
110,153,91,2024-09-12 16:46:46,2024-09-12 17:24:46,Cancelled,4906.29,Cash,0.67,1.33
111,202,91,2024-09-02 15:43:19,2024-09-02 16:30:19,Pending,2393.06,UPI,3.68,4.15
112,227,84,2024-07-01 05:39:07,2024-07-01 06:18:07,Delivered,2619.48,UPI,14.94,3.25
113,61,53,2024-10-16 01:42:45,2024-10-16 02:14:45,Pending,3949.95,Cash,15.21,3.13
114,209,60,2024-04-04 18:38:52,2024-04-04 19:21:52,Delivered,2365.68,Cash,47.76,3.77
115,267,136,2024-01-16 03:41:18,2024-01-16 04:14:18,Cancelled,2972.65,Cash,22.25,4.39
116,167,36,2023-07-16 02:02:40,2023-07-16 02:36:40,Delivered,996.66,Cash,13.00,3.45
117,456,1,2023-07-19 15:23:08,2023-07-19 16:30:08,Delivered,2000.20,UPI,21.47,1.12
118,327,20,2025-01-09 15:20:06,2025-01-09 16:31:06,Delivered,3674.41,Credit Card,13.15,1.21
119,121,112,2024-01-02 03:07:02,2024-01-02 03:39:02,Delivered,3759.40,UPI,32.78,1.40
120,254,80,2024-04-08 00:32:27,2024-04-08 02:02:27,Pending,4156.08,Cash,45.43,3.53
121,260,166,2023-10-22 00:37:37,2023-10-22 01:55:37,Delivered,4726.41,Cash,8.81,4.11
122,135,151,2024-04-18 23:03:28,2024-04-19 00:12:28,Pending,1221.67,Credit Card,28.77,2.47
123,88,196,2024-12-27 14:58:32,2024-12-27 16:02:32,Pending,4449.36,Cash,26.04,1.80
124,258,103,2025-05-05 15:25:31,2025-05-05 16:14:31,Pending,4285.55,Credit Card,13.61,4.07
125,249,159,2025-04-22 10:23:32,2025-04-22 11:23:32,Pending,3157.83,Credit Card,48.71,4.48
126,91,142,2024-12-12 23:54:58,2024-12-13 00:52:58,Cancelled,2130.61,UPI,41.45,3.40
127,67,180,2024-10-30 12:56:12,2024-10-30 14:19:12,Delivered,3545.96,Credit Card,8.66,2.21
128,232,74,2024-09-03 01:39:10,2024-09-03 02:40:10,Cancelled,2317.21,Credit Card,11.14,0.39
129,179,43,2023-12-28 10:48:44,2023-12-28 11:27:44,Pending,1733.39,Credit Card,29.27,1.11
130,417,192,2024-11-21 00:20:17,2024-11-21 01:43:17,Delivered,4008.85,Credit Card,2.42,2.01
131,239,160,2023-08-07 00:18:21,2023-08-07 01:47:21,Cancelled,3492.94,UPI,12.30,3.49
132,144,21,2023-09-14 00:18:51,2023-09-14 01:30:51,Cancelled,70.79,Credit Card,29.86,4.00
133,288,128,2024-02-01 19:50:09,2024-02-01 20:24:09,Pending,777.65,Credit Card,46.42,0.60
134,492,30,2023-10-25 01:32:10,2023-10-25 02:32:10,Delivered,154.53,UPI,29.78,0.14
135,426,77,2024-03-12 20:45:34,2024-03-12 21:46:34,Delivered,1257.05,UPI,4.01,0.64
136,476,2,2023-11-16 23:55:34,2023-11-17 00:46:34,Delivered,1890.38,Cash,40.25,2.54
137,331,127,2023-08-29 08:59:29,2023-08-29 10:29:29,Cancelled,2589.79,Credit Card,25.47,4.55
138,54,177,2024-12-25 08:22:11,2024-12-25 09:24:11,Cancelled,2457.58,Credit Card,16.81,4.85
139,83,24,2023-08-12 19:28:54,2023-08-12 20:24:54,Delivered,1615.52,UPI,20.43,4.74
140,294,117,2024-06-21 06:08:28,2024-06-21 06:48:28,Delivered,21.54,Cash,46.01,0.52
141,411,108,2023-10-14 20:12:58,2023-10-14 20:58:58,Pending,3607.57,Credit Card,12.25,0.18
142,35,142,2025-04-16 17:01:24,2025-04-16 17:57:24,Delivered,4668.90,Cash,4.59,0.28
143,25,24,2024-11-23 00:43:37,2024-11-23 01:14:37,Pending,3183.88,Cash,19.46,0.58
144,446,141,2025-04-21 21:50:21,2025-04-21 23:00:21,Pending,215.29,Cash,27.02,4.28
145,134,13,2025-06-29 11:54:59,2025-06-29 12:48:59,Cancelled,3175.13,Credit Card,20.44,4.59
146,189,106,2024-03-24 15:17:48,2024-03-24 15:51:48,Pending,2959.80,Cash,44.45,2.20
147,286,16,2023-12-08 17:34:35,2023-12-08 18:28:35,Delivered,2823.74,Cash,32.64,1.36
148,196,64,2024-01-15 12:34:34,2024-01-15 13:27:34,Pending,3531.53,UPI,48.37,2.78
149,328,142,2025-03-16 14:29:06,2025-03-16 15:16:06,Delivered,3417.30,Credit Card,18.16,1.97
150,470,50,2024-11-23 03:40:32,2024-11-23 04:33:32,Pending,951.38,UPI,8.02,1.12
151,185,176,2024-07-11 04:59:08,2024-07-11 06:14:08,Delivered,3334.69,Credit Card,16.49,0.44
152,222,26,2024-01-22 10:31:08,2024-01-22 11:28:08,Cancelled,1562.25,UPI,15.05,2.72
153,414,63,2023-08-15 21:31:22,2023-08-15 22:31:22,Cancelled,1891.04,UPI,5.63,4.36
154,319,111,2023-11-06 03:02:43,2023-11-06 03:35:43,Delivered,2988.95,Credit Card,18.09,1.06
155,317,18,2024-07-19 05:31:11,2024-07-19 06:25:11,Delivered,3901.29,Credit Card,25.38,3.56
156,451,166,2024-12-07 09:50:59,2024-12-07 11:01:59,Cancelled,4132.40,Credit Card,1.58,2.95
157,157,93,2024-05-13 19:37:41,2024-05-13 20:42:41,Pending,730.01,Credit Card,18.14,2.66
158,81,122,2024-10-24 06:57:48,2024-10-24 07:59:48,Delivered,2809.22,UPI,49.56,2.09
159,420,192,2023-09-14 06:53:00,2023-09-14 07:38:00,Delivered,1871.10,Cash,47.61,1.94
160,170,157,2023-10-26 06:25:13,2023-10-26 07:45:13,Delivered,439.04,UPI,14.49,3.14
161,58,2,2025-05-26 19:24:26,2025-05-26 20:49:26,Cancelled,741.44,Cash,11.56,0.70
162,229,154,2024-07-01 19:55:42,2024-07-01 21:03:42,Cancelled,1534.98,UPI,33.97,0.21
163,316,5,2024-10-25 18:35:02,2024-10-25 20:04:02,Pending,976.57,UPI,28.26,2.01
164,333,3,2024-02-15 21:24:01,2024-02-15 22:32:01,Delivered,1811.18,UPI,3.46,0.86
165,249,159,2024-02-06 13:48:47,2024-02-06 15:08:47,Cancelled,3774.69,Cash,23.22,0.15
166,328,153,2023-11-20 12:29:10,2023-11-20 13:19:10,Delivered,913.56,UPI,8.02,3.15
167,300,70,2025-01-15 16:54:12,2025-01-15 18:07:12,Delivered,3737.94,Cash,23.39,3.52
168,487,157,2023-11-01 14:43:57,2023-11-01 15:57:57,Pending,2135.50,Credit Card,12.23,2.80
169,444,87,2025-06-08 17:23:15,2025-06-08 18:39:15,Cancelled,2909.10,UPI,4.44,0.55
170,464,119,2024-05-27 15:40:17,2024-05-27 17:05:17,Delivered,1521.27,Credit Card,8.23,0.13
171,227,7,2025-02-23 19:44:08,2025-02-23 20:22:08,Delivered,1401.14,UPI,48.95,0.26
172,124,24,2025-03-12 17:09:47,2025-03-12 17:59:47,Pending,3405.03,Cash,21.20,3.31
173,212,37,2023-11-18 19:22:59,2023-11-18 20:18:59,Cancelled,1483.28,Cash,15.47,0.21
174,240,20,2023-08-23 19:34:19,2023-08-23 20:39:19,Cancelled,94.10,Cash,42.60,2.13
175,350,147,2023-09-28 00:39:24,2023-09-28 02:01:24,Cancelled,1258.82,Cash,16.47,3.82
176,51,190,2024-12-12 22:52:58,2024-12-12 23:56:58,Delivered,3162.70,Cash,11.82,0.41
177,345,134,2023-11-30 13:37:42,2023-11-30 15:00:42,Pending,2262.29,Cash,25.32,0.47
178,439,65,2023-08-03 14:21:52,2023-08-03 15:46:52,Delivered,4862.83,UPI,18.51,3.64
179,183,86,2025-01-03 20:50:48,2025-01-03 21:40:48,Pending,1802.57,UPI,25.17,0.40
180,22,7,2024-02-11 12:29:27,2024-02-11 13:54:27,Cancelled,2748.86,UPI,47.40,2.50
181,357,62,2024-01-29 15:25:37,2024-01-29 16:55:37,Pending,4332.63,UPI,25.19,4.26
182,222,136,2023-11-13 17:20:38,2023-11-13 18:11:38,Delivered,2382.46,UPI,47.18,1.22
183,290,65,2024-06-02 08:43:54,2024-06-02 10:11:54,Delivered,2684.79,Credit Card,25.12,1.45
184,354,93,2024-06-10 17:26:24,2024-06-10 18:03:24,Pending,868.69,Credit Card,48.79,4.51
185,129,14,2024-07-17 06:04:32,2024-07-17 06:54:32,Pending,1592.83,UPI,34.97,0.86
186,389,25,2024-02-23 05:35:52,2024-02-23 06:43:52,Cancelled,944.17,UPI,4.95,4.26
187,150,159,2024-08-22 22:59:59,2024-08-22 23:29:59,Delivered,823.38,UPI,1.60,2.09
188,56,190,2025-04-24 15:09:45,2025-04-24 16:26:45,Delivered,272.63,Cash,28.57,2.95
189,403,34,2024-02-15 23:41:45,2024-02-16 00:31:45,Pending,4396.23,Credit Card,46.41,2.99
190,78,148,2024-08-06 03:13:30,2024-08-06 03:49:30,Pending,1913.96,Credit Card,40.92,1.02
191,104,117,2023-12-21 16:36:54,2023-12-21 17:41:54,Pending,63.02,UPI,39.71,2.58
192,487,164,2025-03-14 14:39:41,2025-03-14 15:55:41,Cancelled,765.36,UPI,28.08,0.32
193,74,71,2024-09-22 15:17:47,2024-09-22 16:08:47,Cancelled,1578.23,Credit Card,35.68,2.82
194,227,178,2023-10-03 15:50:23,2023-10-03 17:07:23,Delivered,2169.89,Credit Card,9.87,0.95
195,188,100,2025-01-22 18:39:19,2025-01-22 19:48:19,Pending,4962.79,Credit Card,18.77,4.38
196,29,159,2025-04-22 00:41:07,2025-04-22 01:56:07,Delivered,3228.35,UPI,42.70,2.68
197,263,140,2023-10-21 20:18:27,2023-10-21 21:20:27,Delivered,1462.23,Credit Card,49.97,0.98
198,91,142,2023-10-28 07:53:43,2023-10-28 09:17:43,Cancelled,312.87,UPI,3.11,4.62
199,181,176,2023-08-14 18:31:03,2023-08-14 19:52:03,Delivered,4261.42,Credit Card,26.83,2.89
200,314,32,2025-05-07 11:14:55,2025-05-07 12:13:55,Delivered,4661.42,Cash,8.12,3.27
201,288,115,2024-03-09 00:20:23,2024-03-09 01:49:23,Cancelled,2310.97,UPI,16.31,0.16
202,150,176,2024-10-12 04:05:25,2024-10-12 05:01:25,Cancelled,73.38,Cash,28.61,2.05
203,144,168,2023-11-05 04:41:35,2023-11-05 06:04:35,Pending,744.34,Credit Card,27.53,4.82
204,7,95,2025-06-26 03:39:29,2025-06-26 04:28:29,Pending,268.94,Credit Card,45.67,2.41
205,5,95,2024-07-25 03:10:04,2024-07-25 03:51:04,Pending,4720.23,Credit Card,17.82,3.42
206,430,138,2024-05-04 07:04:47,2024-05-04 07:59:47,Cancelled,628.91,Credit Card,19.31,2.04
207,404,13,2023-08-31 11:33:35,2023-08-31 12:32:35,Delivered,378.63,Credit Card,13.28,1.21
208,110,118,2025-07-10 08:34:49,2025-07-10 09:56:49,Cancelled,786.05,UPI,15.72,2.35
209,98,52,2024-07-15 19:37:23,2024-07-15 21:03:23,Delivered,1529.84,Credit Card,45.29,1.71
210,302,120,2025-07-03 08:53:35,2025-07-03 09:40:35,Delivered,1508.12,UPI,46.94,2.54
211,181,196,2025-03-15 11:54:49,2025-03-15 12:31:49,Cancelled,2352.10,Credit Card,5.45,3.18
212,240,16,2025-04-30 08:16:52,2025-04-30 09:08:52,Delivered,4942.07,Cash,41.55,0.39
213,75,101,2023-11-18 13:55:50,2023-11-18 14:42:50,Delivered,488.77,Cash,14.34,4.34
214,167,21,2024-06-30 13:26:47,2024-06-30 14:47:47,Pending,1941.41,Credit Card,48.75,2.69
215,462,183,2024-03-07 11:26:08,2024-03-07 12:40:08,Cancelled,988.37,Credit Card,45.99,3.69
216,41,120,2023-12-20 21:37:37,2023-12-20 22:58:37,Delivered,1219.65,Cash,23.39,0.59
217,144,69,2024-07-15 18:01:55,2024-07-15 19:27:55,Delivered,1185.39,UPI,43.77,3.25
218,76,27,2023-07-28 04:27:24,2023-07-28 05:27:24,Cancelled,3663.63,Cash,23.90,3.03
219,324,105,2025-04-21 18:53:31,2025-04-21 20:06:31,Cancelled,4019.37,UPI,3.36,0.05
220,324,39,2024-12-25 08:08:48,2024-12-25 09:25:48,Pending,1669.04,UPI,4.33,4.51
221,14,133,2024-02-24 00:11:38,2024-02-24 00:56:38,Cancelled,2847.57,UPI,47.66,0.96
222,325,194,2024-08-19 00:36:54,2024-08-19 01:51:54,Delivered,1448.55,Credit Card,32.51,0.35
223,358,130,2023-10-28 02:29:39,2023-10-28 03:46:39,Delivered,3744.27,Credit Card,21.85,1.39
224,364,45,2023-12-01 00:31:46,2023-12-01 01:03:46,Delivered,2321.89,Credit Card,19.95,2.87
225,425,115,2024-11-07 19:36:15,2024-11-07 20:47:15,Delivered,1980.39,Credit Card,30.06,3.70
226,379,116,2023-08-02 03:22:49,2023-08-02 04:34:49,Pending,1695.71,Credit Card,37.71,3.76
227,3,50,2024-06-13 18:46:12,2024-06-13 19:41:12,Delivered,4466.51,Cash,10.12,0.33
228,478,156,2024-11-19 03:32:18,2024-11-19 04:28:18,Pending,3210.98,Credit Card,0.13,4.29
229,77,34,2024-08-25 06:51:29,2024-08-25 07:43:29,Cancelled,2663.30,UPI,32.65,3.25
230,411,135,2024-04-20 05:57:16,2024-04-20 07:20:16,Cancelled,4686.88,UPI,46.45,3.29
231,275,178,2025-02-04 03:07:07,2025-02-04 03:40:07,Pending,2102.08,Cash,36.29,3.79
232,314,16,2024-02-14 07:04:47,2024-02-14 07:57:47,Delivered,3825.98,Credit Card,12.69,3.47
233,465,166,2024-02-17 15:32:09,2024-02-17 16:22:09,Pending,4429.59,UPI,16.40,1.53
234,73,25,2024-05-19 05:08:35,2024-05-19 06:13:35,Pending,924.90,Cash,11.61,1.04
235,455,121,2024-11-28 19:56:32,2024-11-28 20:34:32,Cancelled,4268.98,UPI,22.44,1.91
236,412,196,2024-05-19 02:02:03,2024-05-19 03:26:03,Cancelled,4883.69,UPI,26.38,0.95
237,250,102,2025-01-28 08:25:10,2025-01-28 08:57:10,Pending,1392.59,Credit Card,29.00,4.32
238,290,23,2023-07-16 19:13:42,2023-07-16 20:13:42,Delivered,4788.41,Cash,42.97,1.63
239,259,124,2024-07-16 01:04:56,2024-07-16 02:02:56,Pending,3030.72,Cash,6.50,0.51
240,365,36,2024-11-12 17:52:17,2024-11-12 18:42:17,Cancelled,3742.87,UPI,18.54,1.34
241,92,116,2025-02-13 11:52:23,2025-02-13 12:51:23,Cancelled,2360.43,Cash,6.45,3.22
242,427,45,2025-06-15 11:11:18,2025-06-15 11:46:18,Pending,3810.78,UPI,5.59,4.70
243,251,142,2024-12-08 06:25:55,2024-12-08 07:47:55,Cancelled,4118.66,UPI,36.50,1.44
244,21,155,2023-09-26 17:16:31,2023-09-26 18:25:31,Cancelled,3117.32,UPI,35.43,2.21
245,176,60,2024-06-11 22:28:19,2024-06-11 23:29:19,Delivered,1486.89,UPI,11.43,2.76
246,241,1,2023-12-18 12:30:06,2023-12-18 13:44:06,Pending,1179.32,UPI,22.36,3.88
247,72,54,2025-04-26 14:40:18,2025-04-26 16:09:18,Pending,4986.07,Cash,41.69,3.67
248,215,148,2025-05-01 23:54:20,2025-05-02 01:21:20,Delivered,494.62,Credit Card,15.53,2.10
249,51,86,2024-02-25 13:11:55,2024-02-25 14:22:55,Cancelled,2675.91,Cash,47.11,4.39
250,483,91,2023-12-03 04:21:39,2023-12-03 04:51:39,Pending,2379.73,Credit Card,45.02,0.56
251,151,198,2024-09-24 21:22:26,2024-09-24 22:27:26,Delivered,1271.63,Cash,40.30,2.44
252,385,109,2024-07-25 02:29:57,2024-07-25 03:34:57,Delivered,4234.69,UPI,26.21,2.69
253,88,190,2024-04-05 01:06:46,2024-04-05 01:38:46,Pending,716.20,UPI,11.53,3.28
254,87,195,2023-09-26 13:24:02,2023-09-26 14:32:02,Delivered,1311.54,UPI,22.84,1.77
255,158,125,2024-07-18 19:58:54,2024-07-18 21:26:54,Pending,318.75,Credit Card,6.80,2.56
